batchId,ms,groupSize,rg,rb,userVectorFirstEle,lastGroupVectorFirstEle
0.0,2457.664513,2.0,0.7,0.9,1.0,1.0
1.0,817.503407,2.0,0.7,0.9,0.47401858333333324,1.0
2.0,573.76048,2.0,0.7,0.9,0.3376533605,0.95
3.0,386.357726,2.0,0.7,0.9,0.2821864836186364,0.95
4.0,421.196825,2.0,0.7,0.9,0.26023632698862503,0.95
5.0,349.998013,2.0,0.7,0.9,0.22822782876379394,1.0
6.0,353.709844,2.0,0.7,0.9,0.21010884812567865,0.95
7.0,363.263905,2.0,0.7,0.9,0.18878235492492573,1.0
8.0,421.814779,2.0,0.7,0.9,0.1784172235337009,1.0
9.0,404.408239,2.0,0.7,0.9,0.16647668508024377,0.95
10.0,525.806123,2.0,0.7,0.9,0.1582069955783621,0.95
11.0,359.879108,2.0,0.7,0.9,0.14615584348490676,1.0
12.0,382.444439,2.0,0.7,0.9,0.1376434778116332,0.95
13.0,378.257061,2.0,0.7,0.9,0.13191916636530393,0.95
14.0,357.894736,2.0,0.7,0.9,0.12664967979748423,0.95
15.0,224.377407,2.0,0.7,0.9,0.12178343832522978,0.95
16.0,198.513401,2.0,0.7,0.9,0.11487575015226525,1.0
17.0,149.056084,2.0,0.7,0.9,0.11091602424084133,1.0
18.0,174.285127,2.0,0.7,0.9,0.10721984306963597,1.0
19.0,194.9312,2.0,0.7,0.9,0.10376182917620501,1.0
20.0,324.17438,2.0,0.7,0.9,0.10214892595039857,0.95
21.0,181.311134,2.0,0.7,0.9,0.09895724041011403,0.95
22.0,157.741601,2.0,0.7,0.9,0.09460733910678198,1.0
23.0,357.087145,2.0,0.7,0.9,0.09313675087148787,0.95
24.0,301.864263,2.0,0.7,0.9,0.09047584773546889,0.95
25.0,224.983144,2.0,0.7,0.9,0.08693677807198086,1.0
26.0,414.100091,2.0,0.7,0.9,0.08333322505432378,0.95
27.0,267.128531,2.0,0.7,0.9,0.0811965073447439,0.95
28.0,291.637089,2.0,0.7,0.9,0.0791666162627877,0.95
29.0,366.123969,2.0,0.7,0.9,0.07723573793556232,0.95
30.0,391.901048,2.0,0.7,0.9,0.07480618546803366,1.0
31.0,352.817288,2.0,0.7,0.9,0.07310604960426849,1.0
32.0,398.632685,2.0,0.7,0.9,0.07037036284025486,0.95
33.0,438.179655,2.0,0.7,0.9,0.06884057455365276,0.95
34.0,456.096043,2.0,0.7,0.9,0.06701388646748611,1.0
35.0,673.036543,2.0,0.7,0.9,0.06433333219430547,1.0
36.0,258.512237,2.0,0.7,0.9,0.06333333219430547,0.95
37.0,415.159648,2.0,0.7,0.9,0.06433333219430547,1.0
38.0,279.973909,2.0,0.7,0.9,0.07148147395136599,1.0
39.0,299.678414,2.0,0.7,0.9,0.0804166162627878,1.0
40.0,266.308099,2.0,0.7,0.9,0.09190441916404081,1.0
