customerId,ms,groupSize,rg,rb,userVectorFirstEle,lastGroupVectorFirstEle
1.0,16.532045,2.0,0.7,0.9,1.0,1.0
1.0,0.39461,2.0,0.7,0.9,0.95,0.95
1.0,11.047952,2.0,0.7,0.9,0.8325,1.0
1.0,1.859922,2.0,0.7,0.9,0.8075000000000001,0.95
1.0,0.240519,2.0,0.7,0.9,0.7101666666666666,1.0
1.0,0.386728,2.0,0.7,0.9,0.6935,0.95
1.0,0.219281,2.0,0.7,0.9,0.6140875,1.0
1.0,0.31239,2.0,0.7,0.9,0.6015874999999999,0.95
1.0,0.219137,2.0,0.7,0.9,0.536889,1.0
1.0,0.521122,2.0,0.7,0.9,0.5268889999999999,0.95
1.0,1.355486,2.0,0.7,0.9,0.47401858333333324,1.0
1.0,0.309787,2.0,0.7,0.9,0.46568524999999994,0.95
1.0,0.287581,2.0,0.7,0.9,0.4222682928571428,1.0
1.0,0.292852,2.0,0.7,0.9,0.4151254357142857,0.95
1.0,0.308906,2.0,0.7,0.9,0.379264329375,1.0
1.0,0.326686,2.0,0.7,0.9,0.373014329375,0.95
1.0,0.200053,2.0,0.7,0.9,0.34320891605555554,1.0
1.0,0.200281,2.0,0.7,0.9,0.3376533605,0.95
1.0,0.189967,2.0,0.7,0.9,0.312721617115,1.0
1.0,0.205987,2.0,0.7,0.9,0.307721617115,0.95
1.0,0.245323,2.0,0.7,0.9,0.2867319381640909,1.0
1.0,0.593634,2.0,0.7,0.9,0.2821864836186364,0.95
1.0,0.141682,2.0,0.7,0.9,0.2644029936552917,1.0
1.0,0.284761,2.0,0.7,0.9,0.26023632698862503,0.95
1.0,0.124969,2.0,0.7,0.9,0.24507578051572693,1.0
1.0,0.289831,2.0,0.7,0.9,0.2412296266695731,0.95
1.0,0.173811,2.0,0.7,0.9,0.22822782876379394,1.0
1.0,0.325329,2.0,0.7,0.9,0.22465640019236535,0.95
1.0,0.119311,2.0,0.7,0.9,0.213442181459012,1.0
1.0,0.162974,2.0,0.7,0.9,0.21010884812567865,0.95
1.0,0.201298,2.0,0.7,0.9,0.20038393158247658,1.0
1.0,0.249308,2.0,0.7,0.9,0.1972589315824766,0.95
1.0,0.196492,2.0,0.7,0.9,0.18878235492492573,1.0
1.0,0.779988,2.0,0.7,0.9,0.1858411784543375,0.95
1.0,0.283557,2.0,0.7,0.9,0.1784172235337009,1.0
1.0,0.296393,2.0,0.7,0.9,0.17563944575592313,0.95
1.0,0.207323,2.0,0.7,0.9,0.1691082640276122,1.0
1.0,0.31133,2.0,0.7,0.9,0.16647668508024377,0.95
1.0,0.190709,2.0,0.7,0.9,0.1607069955783621,1.0
1.0,0.214017,2.0,0.7,0.9,0.1582069955783621,0.95
1.0,0.172745,2.0,0.7,0.9,0.15309037800462236,1.0
1.0,0.211539,2.0,0.7,0.9,0.15070942562366998,0.95
1.0,0.249094,2.0,0.7,0.9,0.14615584348490676,1.0
1.0,0.18137,2.0,0.7,0.9,0.14388311621217947,0.95
1.0,0.221674,2.0,0.7,0.9,0.13981739085511147,1.0
1.0,0.255086,2.0,0.7,0.9,0.1376434778116332,0.95
1.0,0.150086,2.0,0.7,0.9,0.13400249969863726,1.0
1.0,0.282791,2.0,0.7,0.9,0.13191916636530393,0.95
1.0,0.32044,2.0,0.7,0.9,0.12864967979748423,1.0
1.0,0.187967,2.0,0.7,0.9,0.12664967979748423,0.95
1.0,0.231822,2.0,0.7,0.9,0.1237065152483067,1.0
1.0,0.249958,2.0,0.7,0.9,0.12178343832522978,0.95
1.0,0.119283,2.0,0.7,0.9,0.11912809546367341,1.0
1.0,0.157248,2.0,0.7,0.9,0.11727624361182154,0.95
