batchId,ms,groupSize,rg,rb,userVectorFirstEle,lastGroupVectorFirstEle
0.0,1837.262544,2.0,0.7,0.9,1.0,1.0
1.0,445.770606,2.0,0.7,0.9,0.95,0.95
2.0,367.950916,2.0,0.7,0.9,0.8325,1.0
3.0,323.644206,2.0,0.7,0.9,0.8075000000000001,0.95
4.0,327.342226,2.0,0.7,0.9,0.7101666666666666,1.0
5.0,364.57254,2.0,0.7,0.9,0.6935,0.95
6.0,323.443993,2.0,0.7,0.9,0.6140875,1.0
7.0,318.138056,2.0,0.7,0.9,0.6015874999999999,0.95
8.0,204.731502,2.0,0.7,0.9,0.536889,1.0
9.0,377.177459,2.0,0.7,0.9,0.5268889999999999,0.95
10.0,305.810827,2.0,0.7,0.9,0.47401858333333324,1.0
11.0,267.027248,2.0,0.7,0.9,0.46568524999999994,0.95
12.0,247.620267,2.0,0.7,0.9,0.4222682928571428,1.0
13.0,846.264459,2.0,0.7,0.9,0.4151254357142857,0.95
14.0,205.848824,2.0,0.7,0.9,0.379264329375,1.0
15.0,258.530352,2.0,0.7,0.9,0.373014329375,0.95
16.0,237.876023,2.0,0.7,0.9,0.34320891605555554,1.0
17.0,163.604988,2.0,0.7,0.9,0.3376533605,0.95
18.0,318.912928,2.0,0.7,0.9,0.312721617115,1.0
19.0,203.46695,2.0,0.7,0.9,0.307721617115,0.95
20.0,190.015234,2.0,0.7,0.9,0.2867319381640909,1.0
21.0,188.542948,2.0,0.7,0.9,0.2821864836186364,0.95
22.0,168.982056,2.0,0.7,0.9,0.2644029936552917,1.0
23.0,244.275864,2.0,0.7,0.9,0.26023632698862503,0.95
24.0,301.908475,2.0,0.7,0.9,0.24507578051572693,1.0
25.0,472.974824,2.0,0.7,0.9,0.2412296266695731,0.95
26.0,175.169666,2.0,0.7,0.9,0.22822782876379394,1.0
27.0,403.658162,2.0,0.7,0.9,0.22465640019236535,0.95
28.0,188.924341,2.0,0.7,0.9,0.213442181459012,1.0
29.0,307.484629,2.0,0.7,0.9,0.21010884812567865,0.95
30.0,345.016426,2.0,0.7,0.9,0.20038393158247658,1.0
31.0,183.607244,2.0,0.7,0.9,0.1972589315824766,0.95
32.0,224.710431,2.0,0.7,0.9,0.18878235492492573,1.0
33.0,566.325741,2.0,0.7,0.9,0.1858411784543375,0.95
