batchId,ms,groupSize,rg,rb,userVectorFirstEle,lastGroupVectorFirstEle
0.0,16097.810361,2.0,0.7,0.9,1.0,1.0
1.0,397.644384,2.0,0.7,0.9,0.95,0.95
2.0,396.646354,2.0,0.7,0.9,0.8325,1.0
3.0,527.938097,2.0,0.7,0.9,0.8075000000000001,0.95
4.0,576.959205,2.0,0.7,0.9,0.7101666666666666,1.0
5.0,429.065656,2.0,0.7,0.9,0.6935,0.95
6.0,355.200793,2.0,0.7,0.9,0.6140875,1.0
7.0,443.249808,2.0,0.7,0.9,0.6015874999999999,0.95
8.0,475.59761,2.0,0.7,0.9,0.536889,1.0
9.0,407.029002,2.0,0.7,0.9,0.5268889999999999,0.95
10.0,396.073764,2.0,0.7,0.9,0.47401858333333324,1.0
11.0,413.684421,2.0,0.7,0.9,0.46568524999999994,0.95
12.0,452.691571,2.0,0.7,0.9,0.4222682928571428,1.0
13.0,257.658177,2.0,0.7,0.9,0.4151254357142857,0.95
14.0,258.441708,2.0,0.7,0.9,0.379264329375,1.0
15.0,242.20033,2.0,0.7,0.9,0.373014329375,0.95
16.0,161.597942,2.0,0.7,0.9,0.34320891605555554,1.0
17.0,168.84193,2.0,0.7,0.9,0.3376533605,0.95
18.0,165.74765,2.0,0.7,0.9,0.312721617115,1.0
19.0,178.705689,2.0,0.7,0.9,0.307721617115,0.95
20.0,175.815813,2.0,0.7,0.9,0.2867319381640909,1.0
21.0,302.687197,2.0,0.7,0.9,0.2821864836186364,0.95
22.0,201.431449,2.0,0.7,0.9,0.2644029936552917,1.0
23.0,213.687157,2.0,0.7,0.9,0.26023632698862503,0.95
24.0,341.731083,2.0,0.7,0.9,0.24507578051572693,1.0
25.0,344.297483,2.0,0.7,0.9,0.2412296266695731,0.95
26.0,240.872618,2.0,0.7,0.9,0.22822782876379394,1.0
27.0,189.798325,2.0,0.7,0.9,0.22465640019236535,0.95
28.0,300.181976,2.0,0.7,0.9,0.213442181459012,1.0
29.0,287.74216,2.0,0.7,0.9,0.21010884812567865,0.95
30.0,200.667762,2.0,0.7,0.9,0.20038393158247658,1.0
31.0,376.405453,2.0,0.7,0.9,0.1972589315824766,0.95
32.0,186.300668,2.0,0.7,0.9,0.18878235492492573,1.0
33.0,185.927609,2.0,0.7,0.9,0.1858411784543375,0.95
34.0,374.888887,2.0,0.7,0.9,0.1784172235337009,1.0
35.0,164.171409,2.0,0.7,0.9,0.17563944575592313,0.95
36.0,146.043435,2.0,0.7,0.9,0.1691082640276122,1.0
37.0,263.293462,2.0,0.7,0.9,0.16647668508024377,0.95
38.0,174.269116,2.0,0.7,0.9,0.1607069955783621,1.0
39.0,166.947164,2.0,0.7,0.9,0.1582069955783621,0.95
40.0,394.38495,2.0,0.7,0.9,0.15309037800462236,1.0
41.0,171.163557,2.0,0.7,0.9,0.15070942562366998,0.95
42.0,164.123328,2.0,0.7,0.9,0.14615584348490676,1.0
