batchId,ms,groupSize,rg,rb,userVectorFirstEle,lastGroupVectorFirstEle
0.0,9222.420909,2.0,0.95,0.9,1.0,1.0
1.0,789.963101,2.0,0.95,0.9,0.95,0.95
2.0,371.743387,2.0,0.95,0.9,1.0,1.0
3.0,385.235852,2.0,0.95,0.9,0.0,0.0
4.0,512.06781,2.0,0.95,0.9,1.0,1.0
5.0,432.029073,2.0,0.95,0.9,0.95,0.95
6.0,384.400842,2.0,0.95,0.9,0.9512499999999999,1.0
7.0,368.601769,2.0,0.95,0.9,0.92625,0.95
8.0,94942.805639,2.0,0.95,0.9,0.9512499999999999,1.0
9.0,5603.071062,2.0,0.95,0.9,0.95,0.95
10.0,8568.189344,2.0,0.95,0.9,1.0,1.0
11.0,319.604983,2.0,0.95,0.9,0.0,0.0
