batchId,ms,groupSize,rg,rb,userVectorFirstEle
0.0,2277.23373,2.0,0.7,0.9,1.0
1.0,549.539723,2.0,0.7,0.9,0.95
2.0,362.732645,2.0,0.7,0.9,0.8325
3.0,513.120406,2.0,0.7,0.9,0.8075000000000001
4.0,965.657224,2.0,0.7,0.9,0.7101666666666666
5.0,478.496738,2.0,0.7,0.9,0.6935
6.0,422.820568,2.0,0.7,0.9,0.6140875
7.0,369.392113,2.0,0.7,0.9,0.6015874999999999
8.0,485.95095,2.0,0.7,0.9,0.536889
9.0,402.387204,2.0,0.7,0.9,0.5268889999999999
10.0,367.152812,2.0,0.7,0.9,0.47401858333333324
11.0,434.646586,2.0,0.7,0.9,0.46568524999999994
12.0,419.766244,2.0,0.7,0.9,0.4222682928571428
13.0,483.437692,2.0,0.7,0.9,0.4151254357142857
14.0,428.175674,2.0,0.7,0.9,0.379264329375
15.0,523.890869,2.0,0.7,0.9,0.373014329375
16.0,350.635521,2.0,0.7,0.9,0.34320891605555554
17.0,358.653086,2.0,0.7,0.9,0.3376533605
18.0,365.945226,2.0,0.7,0.9,0.312721617115
19.0,539.52415,2.0,0.7,0.9,0.307721617115
20.0,344.901722,2.0,0.7,0.9,0.2867319381640909
21.0,427.933258,2.0,0.7,0.9,0.2821864836186364
22.0,391.593961,2.0,0.7,0.9,0.2644029936552917
23.0,424.984322,2.0,0.7,0.9,0.26023632698862503
24.0,364.666701,2.0,0.7,0.9,0.24507578051572693
25.0,182.313645,2.0,0.7,0.9,0.2412296266695731
26.0,189.479072,2.0,0.7,0.9,0.22822782876379394
27.0,356.766674,2.0,0.7,0.9,0.22465640019236535
28.0,303.118387,2.0,0.7,0.9,0.213442181459012
29.0,156.432826,2.0,0.7,0.9,0.21010884812567865
30.0,233.493599,2.0,0.7,0.9,0.20038393158247658
31.0,270.261966,2.0,0.7,0.9,0.1972589315824766
32.0,162.027349,2.0,0.7,0.9,0.18878235492492573
33.0,156.677329,2.0,0.7,0.9,0.1858411784543375
34.0,398.907729,2.0,0.7,0.9,0.1784172235337009
35.0,197.555148,2.0,0.7,0.9,0.17563944575592313
36.0,203.471715,2.0,0.7,0.9,0.1691082640276122
37.0,392.780363,2.0,0.7,0.9,0.16647668508024377
38.0,207.587085,2.0,0.7,0.9,0.1607069955783621
39.0,425.437358,2.0,0.7,0.9,0.1582069955783621
40.0,540.364542,2.0,0.7,0.9,0.15309037800462236
41.0,349.17233,2.0,0.7,0.9,0.15070942562366998
42.0,204.862227,2.0,0.7,0.9,0.14615584348490676
43.0,442.685713,2.0,0.7,0.9,0.14388311621217947
44.0,293.342094,2.0,0.7,0.9,0.13981739085511147
45.0,280.781547,2.0,0.7,0.9,0.1376434778116332
46.0,445.977261,2.0,0.7,0.9,0.13400249969863726
47.0,372.936401,2.0,0.7,0.9,0.13191916636530393
48.0,404.405239,2.0,0.7,0.9,0.12864967979748423
49.0,269.163191,2.0,0.7,0.9,0.12664967979748423
50.0,418.143312,2.0,0.7,0.9,0.1237065152483067
51.0,326.064375,2.0,0.7,0.9,0.12178343832522978
52.0,189.802608,2.0,0.7,0.9,0.11912809546367341
53.0,201.321969,2.0,0.7,0.9,0.11727624361182154
54.0,311.26589,2.0,0.7,0.9,0.11487575015226525
55.0,159.047671,2.0,0.7,0.9,0.11309003586655096
56.0,397.198589,2.0,0.7,0.9,0.11091602424084133
57.0,316.907735,2.0,0.7,0.9,0.10919188630980685
58.0,133.110833,2.0,0.7,0.9,0.10721984306963597
59.0,137.117086,2.0,0.7,0.9,0.1055531764029693
60.0,160.178171,2.0,0.7,0.9,0.10376182917620501
61.0,130.188127,2.0,0.7,0.9,0.10214892595039857
62.0,157.066576,2.0,0.7,0.9,0.10051974041011402
63.0,258.743702,2.0,0.7,0.9,0.09895724041011403
64.0,137.987342,2.0,0.7,0.9,0.09747400561171375
65.0,174.149021,2.0,0.7,0.9,0.09595885409656224
66.0,144.12784,2.0,0.7,0.9,0.09460733910678198
67.0,143.919869,2.0,0.7,0.9,0.09313675087148787
68.0,198.865581,2.0,0.7,0.9,0.09190441916404032
