batchId,ms,groupSize,rg,rb,userVectorFirstEle,lastGroupVectorFirstEle
0.0,2210.414785,2.0,0.7,0.9,1.0,1.0
1.0,516.948671,2.0,0.7,0.9,0.95,0.95
2.0,380.995142,2.0,0.7,0.9,0.8325,1.0
3.0,402.592965,2.0,0.7,0.9,0.8074999999999999,0.95
4.0,368.783809,2.0,0.7,0.9,0.7101666666666665,1.0
5.0,464.134577,2.0,0.7,0.9,0.6934999999999999,0.95
6.0,369.094722,2.0,0.7,0.9,0.6140874999999999,1.0
7.0,373.502441,2.0,0.7,0.9,0.6015874999999999,0.95
8.0,359.768608,2.0,0.7,0.9,0.536889,1.0
9.0,324.135724,2.0,0.7,0.9,0.5268889999999999,0.95
10.0,368.846006,2.0,0.7,0.9,0.4740185833333333,1.0
11.0,322.45005,2.0,0.7,0.9,0.46568524999999994,0.95
12.0,261.432373,2.0,0.7,0.9,0.42226829285714274,1.0
13.0,267.670214,2.0,0.7,0.9,0.41512543571428556,0.95
14.0,203.502078,2.0,0.7,0.9,0.379264329375,1.0
15.0,393.635003,2.0,0.7,0.9,0.373014329375,0.95
16.0,321.404747,2.0,0.7,0.9,0.3432089160555555,1.0
17.0,191.737709,2.0,0.7,0.9,0.33765336049999994,0.95
18.0,391.45386,2.0,0.7,0.9,0.312721617115,1.0
19.0,199.314872,2.0,0.7,0.9,0.307721617115,0.95
20.0,212.655864,2.0,0.7,0.9,0.28673193816409087,1.0
21.0,154.331515,2.0,0.7,0.9,0.28218648361863635,0.95
22.0,159.85699,2.0,0.7,0.9,0.26440299365529163,1.0
23.0,195.27846,2.0,0.7,0.9,0.260236326988625,0.95
24.0,174.927146,2.0,0.7,0.9,0.2450757805157269,1.0
25.0,166.761305,2.0,0.7,0.9,0.24122962666957304,0.95
26.0,188.400571,2.0,0.7,0.9,0.22822782876379388,1.0
27.0,196.640871,2.0,0.7,0.9,0.2246564001923653,0.95
28.0,148.95572,2.0,0.7,0.9,0.213442181459012,1.0
29.0,161.021649,2.0,0.7,0.9,0.21010884812567868,0.95
30.0,253.209427,2.0,0.7,0.9,0.2003839315824766,1.0
31.0,189.924028,2.0,0.7,0.9,0.1972589315824766,0.95
32.0,368.631901,2.0,0.7,0.9,0.18878235492492576,1.0
33.0,259.21426,2.0,0.7,0.9,0.1858411784543375,0.95
34.0,386.519399,2.0,0.7,0.9,0.1784172235337009,1.0
35.0,297.814256,2.0,0.7,0.9,0.1756394457559231,0.95
36.0,225.381897,2.0,0.7,0.9,0.16910826402761217,1.0
37.0,397.135313,2.0,0.7,0.9,0.16647668508024377,0.95
38.0,175.244565,2.0,0.7,0.9,0.1607069955783621,1.0
39.0,199.24966,2.0,0.7,0.9,0.1582069955783621,0.95
40.0,285.737537,2.0,0.7,0.9,0.15309037800462233,1.0
41.0,170.637005,2.0,0.7,0.9,0.15070942562366996,0.95
42.0,191.387469,2.0,0.7,0.9,0.14615584348490676,1.0
43.0,366.289162,2.0,0.7,0.9,0.14388311621217947,0.95
44.0,175.978919,2.0,0.7,0.9,0.13981739085511147,1.0
45.0,152.352733,2.0,0.7,0.9,0.1376434778116332,0.95
46.0,222.643103,2.0,0.7,0.9,0.13400249969863726,1.0
47.0,189.863895,2.0,0.7,0.9,0.13191916636530393,0.95
48.0,178.074203,2.0,0.7,0.9,0.12864967979748426,1.0
49.0,152.925704,2.0,0.7,0.9,0.12664967979748426,0.95
50.0,147.787574,2.0,0.7,0.9,0.1237065152483067,1.0
51.0,135.89044,2.0,0.7,0.9,0.12178343832522978,0.95
52.0,141.315731,2.0,0.7,0.9,0.11912809546367338,1.0
53.0,140.415412,2.0,0.7,0.9,0.11727624361182153,0.95
54.0,147.619089,2.0,0.7,0.9,0.11487575015226525,1.0
