customerId,ms,groupSize,rg,rb,userVectorFirstEle
1.0,22.542269,2.0,0.7,0.9,1.0
1.0,0.578718,2.0,0.7,0.9,0.95
1.0,6.60088,2.0,0.7,0.9,0.8325
1.0,0.350765,2.0,0.7,0.9,0.8075000000000001
1.0,0.258212,2.0,0.7,0.9,0.7101666666666666
1.0,0.314343,2.0,0.7,0.9,0.6935
1.0,0.484688,2.0,0.7,0.9,0.6140875
1.0,0.366055,2.0,0.7,0.9,0.6015874999999999
1.0,0.292733,2.0,0.7,0.9,0.536889
1.0,0.304323,2.0,0.7,0.9,0.5268889999999999
1.0,0.218548,2.0,0.7,0.9,0.47401858333333324
1.0,0.314864,2.0,0.7,0.9,0.46568524999999994
1.0,0.208933,2.0,0.7,0.9,0.4222682928571428
1.0,0.273247,2.0,0.7,0.9,0.4151254357142857
1.0,0.280352,2.0,0.7,0.9,0.379264329375
1.0,0.31274,2.0,0.7,0.9,0.373014329375
1.0,0.209958,2.0,0.7,0.9,0.34320891605555554
1.0,0.226736,2.0,0.7,0.9,0.3376533605
1.0,0.44541,2.0,0.7,0.9,0.312721617115
1.0,0.201585,2.0,0.7,0.9,0.307721617115
1.0,2.235581,2.0,0.7,0.9,0.2867319381640909
1.0,0.353596,2.0,0.7,0.9,0.2821864836186364
1.0,0.140751,2.0,0.7,0.9,0.2644029936552917
1.0,0.256571,2.0,0.7,0.9,0.26023632698862503
1.0,0.214998,2.0,0.7,0.9,0.24507578051572693
1.0,0.301213,2.0,0.7,0.9,0.2412296266695731
1.0,0.349485,2.0,0.7,0.9,0.22822782876379394
1.0,0.363198,2.0,0.7,0.9,0.22465640019236535
1.0,0.148254,2.0,0.7,0.9,0.213442181459012
1.0,0.202416,2.0,0.7,0.9,0.21010884812567865
1.0,0.165967,2.0,0.7,0.9,0.20038393158247658
1.0,0.204059,2.0,0.7,0.9,0.1972589315824766
1.0,0.285006,2.0,0.7,0.9,0.18878235492492573
1.0,0.214099,2.0,0.7,0.9,0.1858411784543375
1.0,0.276621,2.0,0.7,0.9,0.1784172235337009
1.0,0.235675,2.0,0.7,0.9,0.17563944575592313
1.0,0.167519,2.0,0.7,0.9,0.1691082640276122
1.0,0.212481,2.0,0.7,0.9,0.16647668508024377
1.0,0.291707,2.0,0.7,0.9,0.1607069955783621
1.0,0.281034,2.0,0.7,0.9,0.1582069955783621
1.0,0.138375,2.0,0.7,0.9,0.15309037800462236
1.0,0.272124,2.0,0.7,0.9,0.15070942562366998
1.0,0.289733,2.0,0.7,0.9,0.14615584348490676
1.0,0.336476,2.0,0.7,0.9,0.14388311621217947
1.0,0.253595,2.0,0.7,0.9,0.13981739085511147
1.0,0.258583,2.0,0.7,0.9,0.1376434778116332
1.0,0.115766,2.0,0.7,0.9,0.13400249969863726
1.0,0.232317,2.0,0.7,0.9,0.13191916636530393
1.0,0.148275,2.0,0.7,0.9,0.12864967979748423
1.0,0.701443,2.0,0.7,0.9,0.12664967979748423
1.0,0.16172,2.0,0.7,0.9,0.1237065152483067
1.0,0.218627,2.0,0.7,0.9,0.12178343832522978
1.0,0.153017,2.0,0.7,0.9,0.11912809546367341
1.0,0.21262,2.0,0.7,0.9,0.11727624361182154
1.0,0.302995,2.0,0.7,0.9,0.11487575015226525
1.0,0.248378,2.0,0.7,0.9,0.11309003586655096
1.0,0.156541,2.0,0.7,0.9,0.11091602424084133
1.0,0.206902,2.0,0.7,0.9,0.10919188630980685
1.0,0.141202,2.0,0.7,0.9,0.10721984306963597
1.0,0.198293,2.0,0.7,0.9,0.1055531764029693
1.0,0.115942,2.0,0.7,0.9,0.10376182917620501
1.0,0.305131,2.0,0.7,0.9,0.10214892595039857
1.0,0.139207,2.0,0.7,0.9,0.10051974041011402
1.0,0.166667,2.0,0.7,0.9,0.09895724041011403
1.0,0.159964,2.0,0.7,0.9,0.09747400561171375
1.0,0.208783,2.0,0.7,0.9,0.09595885409656224
1.0,0.131904,2.0,0.7,0.9,0.09460733910678198
1.0,0.14318,2.0,0.7,0.9,0.09313675087148787
1.0,0.185208,2.0,0.7,0.9,0.09190441916404032
1.0,0.259974,2.0,0.7,0.9,0.09047584773546889
1.0,0.146945,2.0,0.7,0.9,0.08935161859774966
1.0,0.230643,2.0,0.7,0.9,0.08796272970886078
1.0,0.458732,2.0,0.7,0.9,0.08693677807198086
1.0,0.175586,2.0,0.7,0.9,0.0855854267206295
1.0,0.156778,2.0,0.7,0.9,0.084649014528008
1.0,0.195228,2.0,0.7,0.9,0.08333322505432378
1.0,0.183131,2.0,0.7,0.9,0.08247855862679518
1.0,0.23423,2.0,0.7,0.9,0.0811965073447439
1.0,0.182854,2.0,0.7,0.9,0.0804166162627877
1.0,0.234091,2.0,0.7,0.9,0.0791666162627877
1.0,0.148556,2.0,0.7,0.9,0.07845525013068427
1.0,0.191917,2.0,0.7,0.9,0.07723573793556232
1.0,0.11508,2.0,0.7,0.9,0.0765872780654914
1.0,0.157469,2.0,0.7,0.9,0.07539680187501521
1.0,0.125893,2.0,0.7,0.9,0.07480618546803366
1.0,0.388107,2.0,0.7,0.9,0.07364339477035925
1.0,0.150011,2.0,0.7,0.9,0.07310604960426849
1.0,0.578795,2.0,0.7,0.9,0.07196968596790485
1.0,0.193371,2.0,0.7,0.9,0.07148147395136598
1.0,0.213663,2.0,0.7,0.9,0.07037036284025486
1.0,0.144586,2.0,0.7,0.9,0.0699275310753919
1.0,0.148424,2.0,0.7,0.9,0.06884057455365276
1.0,0.102384,2.0,0.7,0.9,0.06843971277931105
1.0,0.198601,2.0,0.7,0.9,0.067375882992077
1.0,0.180787,2.0,0.7,0.9,0.06701388646748611
1.0,0.215514,2.0,0.7,0.9,0.06597221980081945
1.0,0.141276,2.0,0.7,0.9,0.06564625684301088
1.0,0.282395,2.0,0.7,0.9,0.06462584867974558
1.0,0.100065,2.0,0.7,0.9,0.06433333219430547
1.0,0.210351,2.0,0.7,0.9,0.06333333219430547
1.0,0.156246,2.0,0.7,0.9,0.06307189464315081
