batchId,ms,groupSize,rg,rb,userVectorFirstEle
0.0,2107.038552,2.0,0.7,0.9,1.0
1.0,378.168613,2.0,0.7,0.9,0.95
2.0,398.038881,2.0,0.7,0.9,0.8325
3.0,325.965925,2.0,0.7,0.9,0.8075000000000001
4.0,304.908663,2.0,0.7,0.9,0.7101666666666666
5.0,1201.675438,2.0,0.7,0.9,0.6935
6.0,310.943148,2.0,0.7,0.9,0.6140875
7.0,725.638783,2.0,0.7,0.9,0.6015874999999999
8.0,375.265942,2.0,0.7,0.9,0.536889
9.0,460.649992,2.0,0.7,0.9,0.5268889999999999
10.0,368.849534,2.0,0.7,0.9,0.47401858333333324
11.0,530.763121,2.0,0.7,0.9,0.46568524999999994
12.0,496.930122,2.0,0.7,0.9,0.4222682928571428
13.0,344.084662,2.0,0.7,0.9,0.4151254357142857
14.0,515.551755,2.0,0.7,0.9,0.379264329375
15.0,480.554034,2.0,0.7,0.9,0.373014329375
16.0,228.864265,2.0,0.7,0.9,0.34320891605555554
17.0,339.574412,2.0,0.7,0.9,0.3376533605
18.0,353.851233,2.0,0.7,0.9,0.312721617115
19.0,190.249521,2.0,0.7,0.9,0.307721617115
20.0,364.004247,2.0,0.7,0.9,0.2867319381640909
21.0,337.456649,2.0,0.7,0.9,0.2821864836186364
22.0,646.938285,2.0,0.7,0.9,0.2644029936552917
23.0,299.910783,2.0,0.7,0.9,0.26023632698862503
24.0,309.760206,2.0,0.7,0.9,0.24507578051572693
25.0,473.252647,2.0,0.7,0.9,0.2412296266695731
26.0,350.648489,2.0,0.7,0.9,0.22822782876379394
27.0,223.149269,2.0,0.7,0.9,0.22465640019236535
28.0,261.248245,2.0,0.7,0.9,0.213442181459012
29.0,162.648174,2.0,0.7,0.9,0.21010884812567865
30.0,287.91102,2.0,0.7,0.9,0.20038393158247658
31.0,392.034398,2.0,0.7,0.9,0.1972589315824766
32.0,615.019061,2.0,0.7,0.9,0.18878235492492573
33.0,414.866619,2.0,0.7,0.9,0.1858411784543375
34.0,254.709309,2.0,0.7,0.9,0.1784172235337009
35.0,485.41224,2.0,0.7,0.9,0.17563944575592313
36.0,483.858752,2.0,0.7,0.9,0.1691082640276122
37.0,242.92131,2.0,0.7,0.9,0.16647668508024377
38.0,165.953544,2.0,0.7,0.9,0.1607069955783621
39.0,201.532153,2.0,0.7,0.9,0.1582069955783621
40.0,170.197225,2.0,0.7,0.9,0.15309037800462236
41.0,167.890279,2.0,0.7,0.9,0.15070942562366998
42.0,144.849099,2.0,0.7,0.9,0.14615584348490676
43.0,126.414752,2.0,0.7,0.9,0.14388311621217947
44.0,132.759956,2.0,0.7,0.9,0.13981739085511147
45.0,126.882451,2.0,0.7,0.9,0.1376434778116332
46.0,130.047975,2.0,0.7,0.9,0.13400249969863726
47.0,187.284461,2.0,0.7,0.9,0.13191916636530393
48.0,148.194083,2.0,0.7,0.9,0.12864967979748423
49.0,128.816706,2.0,0.7,0.9,0.12664967979748423
50.0,135.889521,2.0,0.7,0.9,0.1237065152483067
51.0,125.660209,2.0,0.7,0.9,0.12178343832522978
52.0,121.033913,2.0,0.7,0.9,0.11912809546367341
53.0,133.013611,2.0,0.7,0.9,0.11727624361182154
54.0,173.538127,2.0,0.7,0.9,0.11487575015226525
55.0,160.715663,2.0,0.7,0.9,0.11309003586655096
56.0,128.760444,2.0,0.7,0.9,0.11091602424084133
57.0,135.538203,2.0,0.7,0.9,0.10919188630980685
58.0,131.229096,2.0,0.7,0.9,0.10721984306963597
59.0,136.606222,2.0,0.7,0.9,0.1055531764029693
60.0,113.692716,2.0,0.7,0.9,0.10376182917620501
61.0,110.972485,2.0,0.7,0.9,0.10214892595039857
62.0,154.552004,2.0,0.7,0.9,0.10051974041011402
63.0,157.545325,2.0,0.7,0.9,0.09895724041011403
64.0,132.123161,2.0,0.7,0.9,0.09747400561171375
65.0,144.531898,2.0,0.7,0.9,0.09595885409656224
66.0,153.579013,2.0,0.7,0.9,0.09460733910678198
67.0,139.106176,2.0,0.7,0.9,0.09313675087148787
68.0,168.223893,2.0,0.7,0.9,0.09190441916404032
69.0,199.278552,2.0,0.7,0.9,0.09047584773546889
70.0,324.358984,2.0,0.7,0.9,0.08935161859774966
71.0,250.983228,2.0,0.7,0.9,0.08796272970886078
72.0,356.695794,2.0,0.7,0.9,0.08693677807198086
73.0,266.557841,2.0,0.7,0.9,0.0855854267206295
74.0,194.355612,2.0,0.7,0.9,0.084649014528008
75.0,202.810416,2.0,0.7,0.9,0.08333322505432378
76.0,174.422284,2.0,0.7,0.9,0.08247855862679518
77.0,165.6192,2.0,0.7,0.9,0.0811965073447439
78.0,422.589914,2.0,0.7,0.9,0.0804166162627877
79.0,566.745042,2.0,0.7,0.9,0.0791666162627877
80.0,411.658164,2.0,0.7,0.9,0.07845525013068427
81.0,227.516588,2.0,0.7,0.9,0.07723573793556232
82.0,205.183838,2.0,0.7,0.9,0.0765872780654914
83.0,117.297392,2.0,0.7,0.9,0.07539680187501521
84.0,130.082857,2.0,0.7,0.9,0.07480618546803366
85.0,121.00185,2.0,0.7,0.9,0.07364339477035925
86.0,277.476555,2.0,0.7,0.9,0.07310604960426849
87.0,547.296238,2.0,0.7,0.9,0.07196968596790485
88.0,317.773977,2.0,0.7,0.9,0.07148147395136598
89.0,216.122419,2.0,0.7,0.9,0.07037036284025486
90.0,366.089254,2.0,0.7,0.9,0.0699275310753919
91.0,140.368735,2.0,0.7,0.9,0.06884057455365276
92.0,142.347714,2.0,0.7,0.9,0.06843971277931105
93.0,452.483861,2.0,0.7,0.9,0.067375882992077
94.0,154.130732,2.0,0.7,0.9,0.06701388646748611
95.0,190.625076,2.0,0.7,0.9,0.06597221980081945
96.0,392.39149,2.0,0.7,0.9,0.06564625684301088
97.0,196.696124,2.0,0.7,0.9,0.06462584867974558
98.0,212.377943,2.0,0.7,0.9,0.06433333219430547
99.0,129.578527,2.0,0.7,0.9,0.06333333219430547
100.0,581.423174,2.0,0.7,0.9,0.06307189464315081
101.0,369.590051,2.0,0.7,0.9,0.06209150248628807
102.0,133.349825,2.0,0.7,0.9,0.061858973822317004
103.0,214.094822,2.0,0.7,0.9,0.06089743536077853
104.0,123.453087,2.0,0.7,0.9,0.06069182353079884
105.0,164.555531,2.0,0.7,0.9,0.05974842730438375
106.0,114.496925,2.0,0.7,0.9,0.05956790098134512
107.0,111.74609,2.0,0.7,0.9,0.058641975055419196
108.0,108.26055,2.0,0.7,0.9,0.05848484831081537
109.0,122.610969,2.0,0.7,0.9,0.05757575740172447
110.0,166.656179,2.0,0.7,0.9,0.05744047607082843
111.0,199.357464,2.0,0.7,0.9,0.056547618927971284
112.0,137.284075,2.0,0.7,0.9,0.05643274845572761
113.0,165.747681,2.0,0.7,0.9,0.05555555547327147
114.0,224.453688,2.0,0.7,0.9,0.05545977005833675
115.0,156.299689,2.0,0.7,0.9,0.05459770109281951
116.0,152.953829,2.0,0.7,0.9,0.054519773972346974
117.0,115.340601,2.0,0.7,0.9,0.05367231634522833
118.0,244.622322,2.0,0.7,0.9,0.05361111108429882
119.0,140.281788,2.0,0.7,0.9,0.05277777775096548
120.0,319.048157,2.0,0.7,0.9,0.05273224041869755
121.0,237.439123,2.0,0.7,0.9,0.051912568287550004
122.0,292.008939,2.0,0.7,0.9,0.051881720417393314
123.0,135.434853,2.0,0.7,0.9,0.05107526880449009
124.0,309.606924,2.0,0.7,0.9,0.05105820104944237
125.0,291.459717,2.0,0.7,0.9,0.050264550255791574
126.0,326.309022,2.0,0.7,0.9,0.05026041666063138
127.0,170.343927,2.0,0.7,0.9,0.049479166660631374
128.0,139.258174,2.0,0.7,0.9,0.049487179483019776
129.0,123.735897,2.0,0.7,0.9,0.04871794871378901
130.0,121.262715,2.0,0.7,0.9,0.048737373734506054
131.0,139.083375,2.0,0.7,0.9,0.04797979797693029
132.0,122.542042,2.0,0.7,0.9,0.048009950246778794
133.0,106.367218,2.0,0.7,0.9,0.047263681590062376
134.0,111.383623,2.0,0.7,0.9,0.04730392156726361
135.0,117.464713,2.0,0.7,0.9,0.046568627449616554
136.0,150.755582,2.0,0.7,0.9,0.04661835748698186
137.0,143.404477,2.0,0.7,0.9,0.045893719805822436
138.0,113.545828,2.0,0.7,0.9,0.045952380951731764
139.0,122.19535,2.0,0.7,0.9,0.04523809523744605
140.0,154.845074,2.0,0.7,0.9,0.04530516431880079
141.0,105.023282,2.0,0.7,0.9,0.04460093896668812
142.0,103.682485,2.0,0.7,0.9,0.04467592592561666
143.0,157.027367,2.0,0.7,0.9,0.043981481481172216
144.0,254.933366,2.0,0.7,0.9,0.04406392694042575
145.0,671.132213,2.0,0.7,0.9,0.04337899543357643
146.0,129.999581,2.0,0.7,0.9,0.04346846846832102
147.0,148.465673,2.0,0.7,0.9,0.04279279279264534
148.0,118.390322,2.0,0.7,0.9,0.042888888888787044
149.0,116.092383,2.0,0.7,0.9,0.042222222222120374
150.0,356.385685,2.0,0.7,0.9,0.04232456140343842
151.0,108.36278,2.0,0.7,0.9,0.04166666666659631
152.0,173.051236,2.0,0.7,0.9,0.04177489177484316
153.0,158.428611,2.0,0.7,0.9,0.04112554112549251
154.0,106.542281,2.0,0.7,0.9,0.04123931623928265
155.0,109.939498,2.0,0.7,0.9,0.04059829059825701
156.0,109.928605,2.0,0.7,0.9,0.040717299578035854
157.0,183.894687,2.0,0.7,0.9,0.040084388185630794
158.0,433.15366,2.0,0.7,0.9,0.04020833333331728
159.0,169.086846,2.0,0.7,0.9,0.03958333333331729
160.0,322.732147,2.0,0.7,0.9,0.03971193415636751
161.0,168.249629,2.0,0.7,0.9,0.039094650205750224
162.0,161.893172,2.0,0.7,0.9,0.03922764227641509
163.0,376.135047,2.0,0.7,0.9,0.038617886178854116
164.0,143.611737,2.0,0.7,0.9,0.03875502008031598
165.0,156.739711,2.0,0.7,0.9,0.038152610441761756
166.0,185.766312,2.0,0.7,0.9,0.03829365079364712
167.0,445.316016,2.0,0.7,0.9,0.037698412698409026
168.0,176.773974,2.0,0.7,0.9,0.03784313725489942
169.0,286.845274,2.0,0.7,0.9,0.037254901960781774
170.0,387.573641,2.0,0.7,0.9,0.03740310077519204
171.0,150.438688,2.0,0.7,0.9,0.03682170542635483
172.0,366.912183,2.0,0.7,0.9,0.03697318007662713
173.0,162.05221,2.0,0.7,0.9,0.03639846743294897
174.0,172.153427,2.0,0.7,0.9,0.036553030303029456
175.0,571.955146,2.0,0.7,0.9,0.035984848484847634
176.0,182.670427,2.0,0.7,0.9,0.03614232209737768
177.0,177.660824,2.0,0.7,0.9,0.03558052434456869
178.0,156.445888,2.0,0.7,0.9,0.03574074074074033
179.0,466.419225,2.0,0.7,0.9,0.03518518518518477
180.0,324.775406,2.0,0.7,0.9,0.03534798534798506
181.0,672.550055,2.0,0.7,0.9,0.03479853479853451
182.0,347.64296,2.0,0.7,0.9,0.03496376811594183
183.0,189.345422,2.0,0.7,0.9,0.03442028985507226
184.0,112.706834,2.0,0.7,0.9,0.034587813620071545
185.0,163.819892,2.0,0.7,0.9,0.0340501792114694
186.0,130.642766,2.0,0.7,0.9,0.03421985815602827
187.0,129.712082,2.0,0.7,0.9,0.03368794326241125
188.0,113.788617,2.0,0.7,0.9,0.03385964912280695
189.0,140.470101,2.0,0.7,0.9,0.03333333333333327
190.0,119.828621,2.0,0.7,0.9,0.0335069444444444
191.0,176.224934,2.0,0.7,0.9,0.03298611111111107
192.0,126.265983,2.0,0.7,0.9,0.03316151202749138
193.0,171.330256,2.0,0.7,0.9,0.03264604810996561
194.0,179.030745,2.0,0.7,0.9,0.03282312925170066
195.0,146.380154,2.0,0.7,0.9,0.03231292517006801
196.0,130.856557,2.0,0.7,0.9,0.03249158249158248
197.0,125.120952,2.0,0.7,0.9,0.03198653198653197
198.0,155.998505,2.0,0.7,0.9,0.032166666666666656
199.0,146.430216,2.0,0.7,0.9,0.031666666666666655
200.0,152.307356,2.0,0.7,0.9,0.03184818481848184
201.0,143.404708,2.0,0.7,0.9,0.031353135313531344
202.0,122.249115,2.0,0.7,0.9,0.03153594771241829
203.0,147.122824,2.0,0.7,0.9,0.031045751633986922
204.0,105.471906,2.0,0.7,0.9,0.03122977346278317
205.0,112.267447,2.0,0.7,0.9,0.030744336569579287
206.0,125.803407,2.0,0.7,0.9,0.030929487179487177
207.0,126.517726,2.0,0.7,0.9,0.030448717948717945
208.0,117.463305,2.0,0.7,0.9,0.030634920634920633
209.0,107.377631,2.0,0.7,0.9,0.030158730158730156
210.0,149.835878,2.0,0.7,0.9,0.030345911949685528
211.0,127.140525,2.0,0.7,0.9,0.02987421383647798
212.0,113.204053,2.0,0.7,0.9,0.03006230529595015
213.0,112.718695,2.0,0.7,0.9,0.029595015576323977
214.0,115.456731,2.0,0.7,0.9,0.02978395061728394
215.0,110.573358,2.0,0.7,0.9,0.02932098765432098
216.0,118.535935,2.0,0.7,0.9,0.029510703363914367
217.0,146.493982,2.0,0.7,0.9,0.029051987767584088
218.0,125.502651,2.0,0.7,0.9,0.029242424242424236
219.0,109.683209,2.0,0.7,0.9,0.028787878787878782
220.0,124.636516,2.0,0.7,0.9,0.02897897897897897
221.0,128.547344,2.0,0.7,0.9,0.028528528528528517
222.0,152.681219,2.0,0.7,0.9,0.028720238095238083
223.0,118.644513,2.0,0.7,0.9,0.02827380952380951
224.0,131.491313,2.0,0.7,0.9,0.02846607669616518
225.0,111.321234,2.0,0.7,0.9,0.02802359882005899
226.0,127.003333,2.0,0.7,0.9,0.02821637426900584
227.0,169.79385,2.0,0.7,0.9,0.02777777777777777
228.0,120.990756,2.0,0.7,0.9,0.027971014492753618
229.0,119.428527,2.0,0.7,0.9,0.027536231884057967
230.0,176.300442,2.0,0.7,0.9,0.027729885057471263
231.0,137.841325,2.0,0.7,0.9,0.02729885057471264
232.0,121.814226,2.0,0.7,0.9,0.02749287749287749
233.0,116.014609,2.0,0.7,0.9,0.02706552706552706
234.0,131.744941,2.0,0.7,0.9,0.027259887005649713
235.0,116.532435,2.0,0.7,0.9,0.02683615819209039
236.0,111.333719,2.0,0.7,0.9,0.027030812324929966
237.0,119.042914,2.0,0.7,0.9,0.026610644257703077
238.0,114.765005,2.0,0.7,0.9,0.026805555555555555
239.0,109.292836,2.0,0.7,0.9,0.026388888888888892
240.0,143.667773,2.0,0.7,0.9,0.026584022038567495
241.0,122.608181,2.0,0.7,0.9,0.026170798898071626
242.0,124.92828,2.0,0.7,0.9,0.02636612021857923
243.0,150.834734,2.0,0.7,0.9,0.02595628415300546
244.0,114.573364,2.0,0.7,0.9,0.02615176151761517
245.0,186.43963,2.0,0.7,0.9,0.025745257452574513
246.0,171.261034,2.0,0.7,0.9,0.025940860215053752
247.0,121.434933,2.0,0.7,0.9,0.02553763440860214
248.0,137.841604,2.0,0.7,0.9,0.025733333333333327
249.0,111.600302,2.0,0.7,0.9,0.025333333333333326
250.0,131.083074,2.0,0.7,0.9,0.025529100529100523
251.0,110.608165,2.0,0.7,0.9,0.025132275132275124
252.0,155.295873,2.0,0.7,0.9,0.025328083989501305
253.0,111.597943,2.0,0.7,0.9,0.02493438320209973
254.0,116.662239,2.0,0.7,0.9,0.025130208333333327
255.0,441.716125,2.0,0.7,0.9,0.02473958333333333
256.0,112.324368,2.0,0.7,0.9,0.02493540051679586
257.0,136.036676,2.0,0.7,0.9,0.024547803617571057
258.0,158.389554,2.0,0.7,0.9,0.02474358974358974
259.0,153.42296,2.0,0.7,0.9,0.024358974358974356
260.0,122.18745,2.0,0.7,0.9,0.024554707379134857
261.0,163.278543,2.0,0.7,0.9,0.024173027989821884
262.0,128.099398,2.0,0.7,0.9,0.024368686868686866
263.0,111.643493,2.0,0.7,0.9,0.023989898989898985
264.0,271.238298,2.0,0.7,0.9,0.024185463659147862
265.0,154.347223,2.0,0.7,0.9,0.0238095238095238
266.0,123.806478,2.0,0.7,0.9,0.024004975124378103
267.0,158.093255,2.0,0.7,0.9,0.023631840796019894
268.0,212.640706,2.0,0.7,0.9,0.023827160493827156
269.0,137.620982,2.0,0.7,0.9,0.023456790123456785
270.0,291.394918,2.0,0.7,0.9,0.023651960784313718
271.0,266.361832,2.0,0.7,0.9,0.02328431372549019
272.0,277.790208,2.0,0.7,0.9,0.023479318734793184
273.0,870.461764,2.0,0.7,0.9,0.023114355231143552
274.0,340.280745,2.0,0.7,0.9,0.02330917874396135
275.0,130.586579,2.0,0.7,0.9,0.02294685990338164
276.0,323.739327,2.0,0.7,0.9,0.023141486810551556
277.0,153.747041,2.0,0.7,0.9,0.02278177458033573
278.0,110.881164,2.0,0.7,0.9,0.022976190476190473
279.0,156.784169,2.0,0.7,0.9,0.02261904761904762
280.0,321.669766,2.0,0.7,0.9,0.022813238770685577
281.0,162.426149,2.0,0.7,0.9,0.022458628841607563
282.0,436.336317,2.0,0.7,0.9,0.022652582159624412
283.0,127.776377,2.0,0.7,0.9,0.022300469483568074
284.0,149.902547,2.0,0.7,0.9,0.02249417249417249
285.0,448.687261,2.0,0.7,0.9,0.02214452214452214
286.0,235.772269,2.0,0.7,0.9,0.022337962962962955
287.0,150.557151,2.0,0.7,0.9,0.021990740740740734
288.0,169.292178,2.0,0.7,0.9,0.022183908045977006
289.0,118.757371,2.0,0.7,0.9,0.021839080459770108
290.0,124.959634,2.0,0.7,0.9,0.02203196347031963
291.0,151.106284,2.0,0.7,0.9,0.02168949771689497
292.0,117.988872,2.0,0.7,0.9,0.021882086167800446
293.0,174.379109,2.0,0.7,0.9,0.021541950113378675
294.0,203.235575,2.0,0.7,0.9,0.021734234234234227
295.0,135.745133,2.0,0.7,0.9,0.02139639639639639
296.0,114.090215,2.0,0.7,0.9,0.02158836689038031
297.0,180.42664,2.0,0.7,0.9,0.02125279642058165
298.0,117.797675,2.0,0.7,0.9,0.02144444444444444
299.0,114.58801,2.0,0.7,0.9,0.021111111111111105
300.0,152.245525,2.0,0.7,0.9,0.021302428256070635
301.0,134.414496,2.0,0.7,0.9,0.020971302428256067
302.0,133.657744,2.0,0.7,0.9,0.021162280701754382
303.0,144.640464,2.0,0.7,0.9,0.02083333333333333
304.0,123.940597,2.0,0.7,0.9,0.021023965141612196
305.0,121.089072,2.0,0.7,0.9,0.02069716775599128
306.0,177.256942,2.0,0.7,0.9,0.020887445887445885
307.0,119.977177,2.0,0.7,0.9,0.02056277056277056
308.0,217.465094,2.0,0.7,0.9,0.02075268817204301
309.0,236.33402,2.0,0.7,0.9,0.020430107526881718
310.0,141.304352,2.0,0.7,0.9,0.020619658119658116
311.0,122.397818,2.0,0.7,0.9,0.020299145299145296
312.0,104.638976,2.0,0.7,0.9,0.020488322717622076
313.0,126.279322,2.0,0.7,0.9,0.02016985138004246
314.0,118.224221,2.0,0.7,0.9,0.020358649789029532
315.0,115.881132,2.0,0.7,0.9,0.020042194092827002
316.0,121.025224,2.0,0.7,0.9,0.020230607966457023
317.0,110.317603,2.0,0.7,0.9,0.019916142557651992
318.0,119.539396,2.0,0.7,0.9,0.020104166666666666
319.0,117.333151,2.0,0.7,0.9,0.019791666666666666
320.0,129.344816,2.0,0.7,0.9,0.019979296066252587
321.0,115.810636,2.0,0.7,0.9,0.019668737060041408
322.0,155.561872,2.0,0.7,0.9,0.0198559670781893
323.0,123.267253,2.0,0.7,0.9,0.01954732510288066
324.0,126.088788,2.0,0.7,0.9,0.019734151329243353
325.0,115.388311,2.0,0.7,0.9,0.019427402862985686
326.0,119.932712,2.0,0.7,0.9,0.019613821138211383
327.0,144.516552,2.0,0.7,0.9,0.019308943089430895
328.0,227.04468,2.0,0.7,0.9,0.019494949494949492
329.0,98.159484,2.0,0.7,0.9,0.019191919191919187
330.0,125.633749,2.0,0.7,0.9,0.01937751004016064
331.0,131.872164,2.0,0.7,0.9,0.01907630522088353
332.0,111.669322,2.0,0.7,0.9,0.01926147704590818
333.0,106.228405,2.0,0.7,0.9,0.018962075848303388
334.0,131.206801,2.0,0.7,0.9,0.01914682539682539
335.0,118.77197,2.0,0.7,0.9,0.018849206349206345
336.0,106.735157,2.0,0.7,0.9,0.019033530571992106
337.0,124.070658,2.0,0.7,0.9,0.018737672583826425
338.0,113.684721,2.0,0.7,0.9,0.018921568627450976
339.0,104.5702,2.0,0.7,0.9,0.018627450980392153
340.0,151.450803,2.0,0.7,0.9,0.01881091617933723
341.0,108.006466,2.0,0.7,0.9,0.018518518518518517
342.0,123.244542,2.0,0.7,0.9,0.018701550387596896
343.0,146.026777,2.0,0.7,0.9,0.018410852713178293
344.0,109.749761,2.0,0.7,0.9,0.018593448940269746
345.0,112.851569,2.0,0.7,0.9,0.018304431599229284
346.0,151.373508,2.0,0.7,0.9,0.018486590038314175
347.0,102.109671,2.0,0.7,0.9,0.018199233716475097
348.0,118.000645,2.0,0.7,0.9,0.01838095238095238
349.0,400.331692,2.0,0.7,0.9,0.018095238095238095
350.0,110.254917,2.0,0.7,0.9,0.018276515151515155
351.0,103.180308,2.0,0.7,0.9,0.017992424242424247
352.0,113.09151,2.0,0.7,0.9,0.01817325800376648
353.0,106.140417,2.0,0.7,0.9,0.017890772128060266
354.0,118.133154,2.0,0.7,0.9,0.01807116104868914
355.0,105.138103,2.0,0.7,0.9,0.017790262172284643
356.0,117.119334,2.0,0.7,0.9,0.01797020484171322
