batchId,ms,groupSize,rg,rb,userVectorFirstEle,lastGroupVectorFirstEle
0.0,1802.556377,2.0,0.7,0.9,1.0,1.0
1.0,499.253816,2.0,0.7,0.9,0.95,0.95
2.0,359.880937,2.0,0.7,0.9,0.8325,1.0
3.0,340.822905,2.0,0.7,0.9,0.8075000000000001,0.95
4.0,369.048315,2.0,0.7,0.9,0.7101666666666666,1.0
5.0,328.089959,2.0,0.7,0.9,0.6935,0.95
6.0,338.892105,2.0,0.7,0.9,0.6140875,1.0
7.0,350.06958,2.0,0.7,0.9,0.6015874999999999,0.95
8.0,336.570327,2.0,0.7,0.9,0.536889,1.0
9.0,442.663299,2.0,0.7,0.9,0.5268889999999999,0.95
10.0,415.393117,2.0,0.7,0.9,0.47401858333333324,1.0
11.0,240.47973,2.0,0.7,0.9,0.46568524999999994,0.95
12.0,203.564505,2.0,0.7,0.9,0.4222682928571428,1.0
13.0,395.270605,2.0,0.7,0.9,0.4151254357142857,0.95
14.0,185.305171,2.0,0.7,0.9,0.379264329375,1.0
15.0,191.469351,2.0,0.7,0.9,0.373014329375,0.95
16.0,346.857634,2.0,0.7,0.9,0.34320891605555554,1.0
17.0,175.602379,2.0,0.7,0.9,0.3376533605,0.95
18.0,270.471309,2.0,0.7,0.9,0.312721617115,1.0
19.0,222.702301,2.0,0.7,0.9,0.307721617115,0.95
20.0,157.287089,2.0,0.7,0.9,0.2867319381640909,1.0
21.0,165.892619,2.0,0.7,0.9,0.2821864836186364,0.95
22.0,147.559638,2.0,0.7,0.9,0.2644029936552917,1.0
23.0,182.85824,2.0,0.7,0.9,0.26023632698862503,0.95
24.0,196.476112,2.0,0.7,0.9,0.24507578051572693,1.0
25.0,160.460922,2.0,0.7,0.9,0.2412296266695731,0.95
26.0,176.65166,2.0,0.7,0.9,0.22822782876379394,1.0
27.0,179.714902,2.0,0.7,0.9,0.22465640019236535,0.95
28.0,170.671752,2.0,0.7,0.9,0.213442181459012,1.0
29.0,145.161552,2.0,0.7,0.9,0.21010884812567865,0.95
30.0,182.609566,2.0,0.7,0.9,0.20038393158247658,1.0
31.0,158.602683,2.0,0.7,0.9,0.1972589315824766,0.95
32.0,135.339933,2.0,0.7,0.9,0.18878235492492573,1.0
33.0,325.252384,2.0,0.7,0.9,0.1858411784543375,0.95
34.0,175.321246,2.0,0.7,0.9,0.1784172235337009,1.0
35.0,143.608345,2.0,0.7,0.9,0.17563944575592313,0.95
36.0,206.692829,2.0,0.7,0.9,0.1691082640276122,1.0
37.0,136.600356,2.0,0.7,0.9,0.16647668508024377,0.95
38.0,155.0481,2.0,0.7,0.9,0.1607069955783621,1.0
39.0,319.205361,2.0,0.7,0.9,0.1582069955783621,0.95
40.0,163.382097,2.0,0.7,0.9,0.15309037800462236,1.0
41.0,151.586151,2.0,0.7,0.9,0.15070942562366998,0.95
42.0,167.380232,2.0,0.7,0.9,0.14615584348490676,1.0
43.0,150.0044,2.0,0.7,0.9,0.14388311621217947,0.95
44.0,175.663592,2.0,0.7,0.9,0.13981739085511147,1.0
45.0,135.314786,2.0,0.7,0.9,0.1376434778116332,0.95
46.0,138.311881,2.0,0.7,0.9,0.13400249969863726,1.0
47.0,161.72009,2.0,0.7,0.9,0.13191916636530393,0.95
48.0,150.044864,2.0,0.7,0.9,0.12864967979748423,1.0
49.0,140.083914,2.0,0.7,0.9,0.12664967979748423,0.95
50.0,139.1673,2.0,0.7,0.9,0.1237065152483067,1.0
51.0,143.196033,2.0,0.7,0.9,0.12178343832522978,0.95
52.0,162.204311,2.0,0.7,0.9,0.11912809546367341,1.0
53.0,144.872411,2.0,0.7,0.9,0.11727624361182154,0.95
54.0,158.429982,2.0,0.7,0.9,0.11487575015226525,1.0
55.0,156.792678,2.0,0.7,0.9,0.11309003586655096,0.95
56.0,172.403604,2.0,0.7,0.9,0.11091602424084133,1.0
57.0,129.915192,2.0,0.7,0.9,0.10919188630980685,0.95
58.0,135.865324,2.0,0.7,0.9,0.10721984306963597,1.0
59.0,139.00697,2.0,0.7,0.9,0.1055531764029693,0.95
60.0,123.020417,2.0,0.7,0.9,0.10376182917620501,1.0
61.0,143.30947,2.0,0.7,0.9,0.10214892595039857,0.95
62.0,131.893079,2.0,0.7,0.9,0.10051974041011402,1.0
63.0,177.170254,2.0,0.7,0.9,0.09895724041011403,0.95
64.0,160.777376,2.0,0.7,0.9,0.09747400561171375,1.0
65.0,168.473279,2.0,0.7,0.9,0.09595885409656224,0.95
66.0,148.355147,2.0,0.7,0.9,0.09460733910678198,1.0
67.0,141.278034,2.0,0.7,0.9,0.09313675087148787,0.95
68.0,164.815129,2.0,0.7,0.9,0.09190441916404032,1.0
69.0,204.552303,2.0,0.7,0.9,0.09047584773546889,0.95
70.0,153.869405,2.0,0.7,0.9,0.08935161859774966,1.0
71.0,121.830071,2.0,0.7,0.9,0.08796272970886078,0.95
72.0,122.092517,2.0,0.7,0.9,0.08693677807198086,1.0
73.0,140.280514,2.0,0.7,0.9,0.0855854267206295,0.95
74.0,181.117004,2.0,0.7,0.9,0.084649014528008,1.0
75.0,137.148082,2.0,0.7,0.9,0.08333322505432378,0.95
76.0,125.322177,2.0,0.7,0.9,0.08247855862679518,1.0
77.0,137.817363,2.0,0.7,0.9,0.0811965073447439,0.95
78.0,152.829335,2.0,0.7,0.9,0.0804166162627877,1.0
79.0,153.773461,2.0,0.7,0.9,0.0791666162627877,0.95
80.0,122.757467,2.0,0.7,0.9,0.07845525013068427,1.0
81.0,116.360611,2.0,0.7,0.9,0.07723573793556232,0.95
82.0,126.125214,2.0,0.7,0.9,0.0765872780654914,1.0
83.0,126.08407,2.0,0.7,0.9,0.07539680187501521,0.95
84.0,169.149025,2.0,0.7,0.9,0.07480618546803366,1.0
85.0,152.103665,2.0,0.7,0.9,0.07364339477035925,0.95
86.0,133.525953,2.0,0.7,0.9,0.07310604960426849,1.0
87.0,128.86563,2.0,0.7,0.9,0.07196968596790485,0.95
88.0,154.507055,2.0,0.7,0.9,0.07148147395136598,1.0
89.0,123.184124,2.0,0.7,0.9,0.07037036284025486,0.95
90.0,124.1441,2.0,0.7,0.9,0.0699275310753919,1.0
91.0,202.425454,2.0,0.7,0.9,0.06884057455365276,0.95
92.0,324.780441,2.0,0.7,0.9,0.06843971277931105,1.0
93.0,139.734354,2.0,0.7,0.9,0.067375882992077,0.95
94.0,155.88207,2.0,0.7,0.9,0.06701388646748611,1.0
