batchId,ms,groupSize,rg,rb,userVectorFirstEle,lastGroupVectorFirstEle
0.0,1983.538485,2.0,0.7,0.9,1.0,1.0
1.0,356.439851,2.0,0.7,0.9,0.95,0.95
2.0,346.203098,2.0,0.7,0.9,0.8325,1.0
3.0,337.654609,2.0,0.7,0.9,0.8075000000000001,0.95
4.0,360.494242,2.0,0.7,0.9,0.7101666666666666,1.0
5.0,341.220161,2.0,0.7,0.9,0.6935,0.95
6.0,355.856041,2.0,0.7,0.9,0.6140875,1.0
7.0,369.514654,2.0,0.7,0.9,0.6015874999999999,0.95
8.0,360.297156,2.0,0.7,0.9,0.536889,1.0
9.0,364.893773,2.0,0.7,0.9,0.5268889999999999,0.95
10.0,457.975457,2.0,0.7,0.9,0.47401858333333324,1.0
11.0,319.180591,2.0,0.7,0.9,0.46568524999999994,0.95
12.0,386.432484,2.0,0.7,0.9,0.4222682928571428,1.0
13.0,262.393816,2.0,0.7,0.9,0.4151254357142857,0.95
14.0,203.253471,2.0,0.7,0.9,0.379264329375,1.0
15.0,306.076931,2.0,0.7,0.9,0.373014329375,0.95
16.0,208.572221,2.0,0.7,0.9,0.34320891605555554,1.0
17.0,172.297508,2.0,0.7,0.9,0.3376533605,0.95
18.0,181.425279,2.0,0.7,0.9,0.312721617115,1.0
19.0,278.750703,2.0,0.7,0.9,0.307721617115,0.95
20.0,194.682049,2.0,0.7,0.9,0.2867319381640909,1.0
21.0,171.765794,2.0,0.7,0.9,0.2821864836186364,0.95
22.0,271.642518,2.0,0.7,0.9,0.2644029936552917,1.0
23.0,183.107686,2.0,0.7,0.9,0.26023632698862503,0.95
24.0,151.666127,2.0,0.7,0.9,0.24507578051572693,1.0
25.0,184.648303,2.0,0.7,0.9,0.2412296266695731,0.95
26.0,165.085853,2.0,0.7,0.9,0.22822782876379394,1.0
27.0,168.339496,2.0,0.7,0.9,0.22465640019236535,0.95
28.0,153.964866,2.0,0.7,0.9,0.213442181459012,1.0
29.0,151.64699,2.0,0.7,0.9,0.21010884812567865,0.95
30.0,178.9821,2.0,0.7,0.9,0.20038393158247658,1.0
31.0,318.214608,2.0,0.7,0.9,0.1972589315824766,0.95
32.0,139.591455,2.0,0.7,0.9,0.18878235492492573,1.0
33.0,309.931179,2.0,0.7,0.9,0.1858411784543375,0.95
